RETOUR	AGE	INCOME	SEX	MARRIED	FICO	OWNHOME	LOC	BUY6	BUY12	BUY18	VALUE24	COA6	fin
NON	45	52	F	1	748	0	A	0	0	0	209	0	0
NON	56	79		1	732	0	A	0	0	0	109	0	0
OUI	49	54	F	0	727	0	A	0	0	1	447	0	0
OUI	44	40		1	708	1	A	0	0	0	151	0	0
NON	59	41	F	0	646	1	A	0	0	0	233	0	0
NON	58	23	F	1	685	0	A	0	0	0	100	0	0
NON	36	33		0	714	0	A	0	0	0	215	0	0
NON	55	57	M	1	758	0	A	1	1	1	507	0	0
NON	56	30	M	1	705	0	A	0	0	0	78	0	0
NON	37	26		0	662	0	A	0	0	1	323	0	0
NON	69	73		1	686	0	A	0	0	0	205	0	0
NON	42	55	F	1	673	0	A	0	0	0	137	0	0
NON	43	53	F	1	745	0	A	0	0	1	338	0	0
NON	48	36	F	1	684	1	A	0	0	0	202	0	0
NON	37	60		1	730	0	A	0	0	0	231	0	0
NON	36	32	F	1	714	1	A	0	0	0	105	0	0
NON	46	62	M	1	643	1	A	0	0	0	252	0	0
NON	47	32	F	1	688	0	A	0	0	0	105	0	0
NON	44	71		1	687	0	A	0	0	0	118	0	0
NON	34	17	F	0	685	0	A	0	0	0	116	1	0
NON	51	48		1	631	1	A	0	1	1	138	0	0
NON	36	17	M	0	660	0	A	0	0	0	133	0	0
NON	44	40		0	701	0	A	0	0	0	149	0	0
OUI	36	61		0	678	0	A	0	0	0	204	0	0
NON	32	54	M	0	694	0	A	0	0	0	137	0	0
OUI	51	49	F	0	698	0	A	0	0	0	406	0	0
OUI	67	47	M	1	615	0	A	0	1	1	451	0	0
NON	44	55	M	0	694	0	A	0	1	1	351	0	0
NON	46	56	F	1	698	1	A	0	0	1	269	0	0
NON	53	70	F	1	683	0	A	0	0	1	147	0	0
OUI	42	55	M	1	662	0	A	0	0	0	104	0	0
NON	49	35	M	1	669	0	A	0	0	0	138	0	0
OUI	45	49	F	1	707	0	A	0	0	0	134	0	0
NON	42	60	F	0	719	0	A	0	0	0	237	0	0
NON	35	56	M	0	691	0	A	0	0	0	64	0	0
OUI	47	53	F	0	669	0	A	0	0	0	213	0	0
NON	31	43	F	0	731	0	A	0	0	0	170	0	0
NON	44	70	M	1	706	0	A	0	0	0	87	0	0
NON	38	40	M	0	678	0	A	0	0	0	206	0	0
NON	28	54	F	0	654	0	A	0	0	0	94	0	0
NON	48	20	F	0	689	0	A	0	0	0	240	0	0
NON	31	21	M	1	700	1	A	1	1	1	148	0	0
NON	46	47	F	0	686	0	A	0	0	0	74	0	0
NON	30	52	F	0	730	0	A	1	1	1	451	0	0
NON	54	29	M	0	728	0	A	0	0	0	125	0	0
NON	48	40	F	1	722	1	A	0	0	0	101	0	0
NON	42	20	M	0	687	0	A	0	0	0	62	0	0
NON	56	60	M	1	731	1	A	0	0	0	176	0	0
NON	34	32	M	0	718	0	A	0	0	0	167	1	0
NON	22	35	M	0	652	0	A	0	0	0	141	0	0
NON	52	70	F	1	682	1	A	0	0	0	176	0	0
NON	45	64	M	1	734	0	A	0	0	0	232	0	0
NON	39	65	M	0	728	0	A	1	1	1	301	0	0
NON	34	77	M	1	638	0	A	0	1	1	468	0	0
NON	45	34	F	1	681	0	A	0	0	1	130	0	0
NON	38	76	M	0	656	0	A	0	0	0	201	0	0
NON	53	22	M	1	698	0	A	0	0	0	137	0	0
NON	47	53	F	0	681	1	A	0	1	1	283	0	0
OUI	27	71	F	1	692	0	A	0	0	1	428	0	0
NON	44	63	F	1	726	0	A	0	0	1	188	0	0
NON	51	61	M	1	694	0	A	0	0	1	130	0	0
NON	46	71	M	1	737	0	A	0	0	0	114	0	0
NON	39	60	F	0	652	0	A	0	0	0	72	0	0
NON	52	74	M	0	671	0	A	0	0	0	202	0	0
NON	34	66	M	0	696	0	A	1	1	1	431	0	0
NON	62	69	M	1	680	0	A	0	0	0	150	0	0
OUI	30	51	M	1	671	0	A	2	2	2	774	0	0
NON	42	61	M	0	682	0	A	0	0	0	61	0	0
